Date,HIGH,LOW,OPEN,CLOSE,VOLUME,DATE
2023-12-14,4317,4237,4270,4267,25216,2023-12-14
2023-12-15,4282,4231,4273,4244,19048,2023-12-15
2023-12-18,4307,4241,4255,4271,18493,2023-12-18
2023-12-19,4307,4254,4285,4289,16193,2023-12-19
2023-12-20,4334,4271,4288,4309,16998,2023-12-20
2023-12-21,4320,4267,4300,4288,20606,2023-12-21
2023-12-22,4325,4275,4277,4311,12715,2023-12-22
2023-12-26,4343,4276,4320,4283,9121,2023-12-26
2023-12-27,4315,4277,4296,4280,12495,2023-12-27
2023-12-28,4302,4235,4288,4256,16113,2023-12-28
2023-12-29,4256,4193,4256,4196,18596,2023-12-29
2024-01-02,4287,4200,4209,4275,24130,2024-01-02
2024-01-03,4273,4204,4265,4238,25190,2024-01-03
2024-01-04,4267,4232,4233,4260,15720,2024-01-04
2024-01-05,4274,4194,4260,4204,19627,2024-01-05
2024-01-08,4194,4034,4194,4094,53188,2024-01-08
2024-01-09,4202,4092,4110,4162,28725,2024-01-09
2024-01-10,4235,4156,4171,4206,22852,2024-01-10
2024-01-11,4280,4199,4210,4274,24520,2024-01-11
2024-01-12,4358,4285,4290,4323,30064,2024-01-12
2024-01-16,4448,4321,4355,4429,35655,2024-01-16
2024-01-17,4478,4406,4420,4448,27594,2024-01-17
2024-01-18,4497,4415,4428,4458,29379,2024-01-18
2024-01-19,4607,4479,4499,4583,39687,2024-01-19
2024-01-22,4607,4529,4589,4565,27707,2024-01-22
2024-01-23,4835,4570,4570,4634,50898,2024-01-23
2024-01-24,4808,4658,4679,4785,36933,2024-01-24
2024-01-25,4840,4610,4815,4625,44374,2024-01-25
2024-01-26,4696,4614,4650,4672,25005,2024-01-26
2024-01-29,4755,4632,4679,4732,29981,2024-01-29
2024-01-30,4843,4712,4743,4805,33961,2024-01-30
2024-01-31,4869,4770,4795,4822,25256,2024-01-31
2024-02-01,4981,4828,4832,4956,36184,2024-02-01
2024-02-02,5032,4939,4990,5009,37945,2024-02-02
2024-02-05,5249,5010,5035,5189,37591,2024-02-05
2024-02-06,5288,5133,5244,5220,36089,2024-02-06
2024-02-07,5429,5194,5219,5410,42231,2024-02-07
2024-02-08,5874,5451,5488,5805,37991,2024-02-08
2024-02-09,6030,5528,5900,5888,35319,2024-02-09
2024-02-12,5958,5773,5868,5860,16137,2024-02-12
2024-02-13,6029,5815,5828,6001,12137,2024-02-13
2024-02-14,6039,5812,6008,5949,9014,2024-02-14
2024-02-15,6030,5888,5956,5961,6096,2024-02-15
2024-02-16,5964,5689,5947,5706,10725,2024-02-16
2024-02-20,6069,5750,5750,5999,6822,2024-02-20
2024-02-21,6311,6022,6050,6198,2545,2024-02-21
2024-02-22,6340,5961,6336,6169,843,2024-02-22
2024-02-23,6750,6033,6033,6562,83,2024-02-23
2024-02-26,6929,6650,6765,6884,42,2024-02-26
2024-02-27,6893,6743,6780,6755,8,2024-02-27
2024-02-28,6590,6362,6590,6380,7,2024-02-28
2024-02-29,6466,6413,6413,6510,319,2024-02-29
2024-03-01,6769,6769,6769,6826,5,2024-03-01
2024-03-04,,,,7057,,2024-03-04
2024-03-05,7000,7000,7000,6970,1,2024-03-05
2024-03-06,,,,7170,,2024-03-06
2024-03-07,7000,7000,7000,7054,1,2024-03-07
2024-03-08,6928,6928,6928,6997,1,2024-03-08
2024-03-11,,,,7329,,2024-03-11
2024-03-12,7974,7890,7890,8048,8,2024-03-12
2024-03-13,,,,8034,,2024-03-13
2024-03-14,7715,7063,7185,7405,29410,2024-03-14
2024-03-15,8186,7357,7435,8018,25580,2024-03-15
2024-03-18,8493,7824,8179,8172,32655,2024-03-18
2024-03-19,8412,7963,8188,8027,19138,2024-03-19
2024-03-20,8429,7716,7920,8324,23723,2024-03-20
2024-03-21,8653,8149,8395,8559,21272,2024-03-21
2024-03-22,8960,8465,8573,8939,16403,2024-03-22
2024-03-25,9684,8889,8921,9649,19698,2024-03-25
2024-03-26,10080,9574,9847,9622,26263,2024-03-26
2024-03-27,9917,9267,9509,9843,23291,2024-03-27
2024-03-28,10014,9671,9906,9766,17953,2024-03-28
2024-04-01,10318,9632,9720,10120,11594,2024-04-01
2024-04-02,10324,9808,10186,9949,19824,2024-04-02
2024-04-03,10044,9406,9858,9524,23087,2024-04-03
2024-04-04,9644,9150,9389,9462,14914,2024-04-04
2024-04-05,9990,9480,9668,9795,16993,2024-04-05
2024-04-08,10443,9669,9953,9895,22946,2024-04-08
2024-04-09,10321,9653,9717,10204,15144,2024-04-09
2024-04-10,10629,10148,10300,10411,10866,2024-04-10
2024-04-11,10771,10319,10445,10373,12639,2024-04-11
2024-04-12,11039,10357,10400,10987,6464,2024-04-12
2024-04-15,11206,10830,10884,11001,5550,2024-04-15
2024-04-16,11085,9988,11063,10243,4386,2024-04-16
2024-04-17,10630,10100,10173,10340,5414,2024-04-17
2024-04-18,11388,10530,10620,11311,5542,2024-04-18
2024-04-19,12261,11132,11504,11878,2808,2024-04-19
2024-04-22,12136,10929,11967,11166,1652,2024-04-22
2024-04-23,10835,10221,10803,10584,3530,2024-04-23
2024-04-24,11600,10835,10835,11043,19,2024-04-24
2024-04-25,11530,10800,11530,10988,6,2024-04-25
2024-04-26,10975,10973,10973,10729,8,2024-04-26
2024-04-29,10327,9958,10327,9983,30,2024-04-29
2024-04-30,10115,8651,9610,10133,18,2024-04-30
2024-05-01,9206,8930,9206,9183,15,2024-05-01
